agent,task_type,n_prs,n_merged,n_unmerged,merge_rate,mean_resolution_merged,mean_resolution_unmerged,correlation_coefficient,effect_size_category,abs_correlation
Claude_Code,chore,13,11,2,0.8461538461538461,3.5724579124579123,0.7588425925925927,0.05698028822981897,negligible,0.05698028822981897
Claude_Code,ci,5,4,1,0.8,0.010677083333333275,0.0033912037037037036,0.7071067811865475,large,0.7071067811865475
Claude_Code,docs,34,26,8,0.7647058823529411,1.311357282763533,9.420894097222224,-0.28979107122450204,small,0.28979107122450204
Claude_Code,feat,225,164,61,0.7288888888888889,1.8159418049909666,3.671991879174256,0.04086899585315635,negligible,0.04086899585315635
Claude_Code,fix,96,71,25,0.7395833333333334,2.7228654799165364,2.7083777777777778,-0.16145744463422942,small,0.16145744463422942
Claude_Code,perf,3,2,1,0.6666666666666666,0.2376331018518518,0.877175925925926,-0.8660254037844387,large,0.8660254037844387
Claude_Code,refactor,24,14,10,0.5833333333333334,1.7423123346560843,2.943773148148148,-0.10988418522012473,small,0.10988418522012473
Claude_Code,test,6,4,2,0.6666666666666666,0.2512268518518518,2.8089062499999997,-0.6210590034081188,large,0.6210590034081188
Copilot,build,121,70,51,0.5785123966942148,2.819019841269841,1.4516153776325345,0.3852514055288547,moderate,0.3852514055288547
Copilot,chore,137,74,63,0.5401459854014599,2.8140603103103103,1.7662248309817759,0.21479566465193806,small,0.21479566465193806
Copilot,ci,92,62,30,0.6739130434782609,1.2513920624253285,3.261539737654321,0.00698514385981837,negligible,0.00698514385981837
Copilot,docs,482,354,128,0.7344398340248963,3.466189677495292,3.494861744068287,0.19903161275228953,small,0.19903161275228953
Copilot,feat,1531,884,647,0.5774003919007185,3.0866865154181333,5.459606374148491,0.06621077545672094,negligible,0.06621077545672094
Copilot,fix,1914,1138,776,0.5945663531870429,3.154239202955152,4.503674246491982,0.04140232227201416,negligible,0.04140232227201416
Copilot,perf,34,12,22,0.35294117647058826,2.1075646219135797,1.765354587542088,0.18192637473571158,small,0.18192637473571158
Copilot,refactor,282,176,106,0.624113475177305,3.3796726378367,2.923639718728163,0.09407348744828312,negligible,0.09407348744828312
Copilot,style,15,7,8,0.4666666666666667,0.9748528439153439,0.23827835648148146,0.49487165930539345,moderate,0.49487165930539345
Copilot,test,164,92,72,0.5609756097560976,2.367124723228663,9.070618248456789,0.005969300043457314,negligible,0.005969300043457314
