agent,task_type,n_prs,mean_loc,median_loc,mean_comments,median_comments,correlation_coefficient,p_value,effect_size_category,abs_correlation
Claude_Code,build,3,214921.33333333334,1249.0,1.3333333333333333,1.0,0.8660254037844387,0.3333333333333332,large,0.8660254037844387
Claude_Code,chore,8,10582.125,1055.0,5.25,6.0,0.36596252735569995,0.37262472702449506,moderate,0.36596252735569995
Claude_Code,docs,22,5114.0,326.0,2.772727272727273,1.5,0.061639980483478865,0.7852378323440327,negligible,0.061639980483478865
Claude_Code,feat,184,11546.054347826086,2152.0,5.103260869565218,3.0,0.11503019252983956,0.11997516634248706,small,0.11503019252983956
Claude_Code,fix,79,7648.911392405063,204.0,4.481012658227848,3.0,0.2102756392348352,0.06288052087153452,small,0.2102756392348352
Claude_Code,refactor,16,1200.6875,322.5,4.5625,3.5,0.29339655193453285,0.27007707546615606,small,0.29339655193453285
Claude_Code,test,4,1289.0,615.5,5.5,3.0,-0.316227766016838,0.683772233983162,moderate,0.316227766016838
Claude_Code,unknown,294,0.0,0.0,1.2959183673469388,1.0,,,large,
Copilot,build,92,22996.891304347828,108.0,8.347826086956522,5.0,0.39926566473414876,8.062358466606196e-05,moderate,0.39926566473414876
Copilot,chore,74,17126.18918918919,244.0,7.351351351351352,6.0,0.31314748946992715,0.006595127478313,moderate,0.31314748946992715
Copilot,ci,54,30381.5,43.5,6.462962962962963,3.0,0.4978506386221364,0.00012788978853879704,moderate,0.4978506386221364
Copilot,docs,377,5020.217506631299,154.0,7.543766578249337,4.0,0.36738701601910106,1.719721216711083e-13,moderate,0.36738701601910106
Copilot,feat,1264,16558.118670886077,510.5,9.265822784810126,5.0,0.3816490720809409,4.245641611055401e-45,moderate,0.3816490720809409
Copilot,fix,1535,13092.051465798046,117.0,7.031270358306189,4.0,0.4047794303937465,1.357440255594183e-61,moderate,0.4047794303937465
Copilot,other,5,0.0,0.0,1.6,1.0,,,large,
Copilot,perf,35,510.48571428571427,184.0,8.285714285714286,5.0,0.08870714461345235,0.6123371376544524,negligible,0.08870714461345235
Copilot,refactor,244,6330.4057377049185,304.5,8.495901639344263,6.0,0.3824292433398227,6.428094268753866e-10,moderate,0.3824292433398227
Copilot,revert,4,54.25,41.0,3.5,4.0,0.632455532033676,0.367544467966324,large,0.632455532033676
Copilot,style,10,1111.6,74.0,5.9,4.5,0.9541329019028173,1.8317926398265402e-05,large,0.9541329019028173
Copilot,test,130,12222.853846153846,371.5,9.284615384615385,6.0,0.5165770414708416,3.1468741356965897e-10,large,0.5165770414708416
Copilot,unknown,11103,0.0,0.0,1.1960731333873729,1.0,,,large,
Cursor,build,28,100743.92857142857,348.0,3.3214285714285716,2.0,0.043986368809451955,0.8241196476132004,negligible,0.043986368809451955
Cursor,chore,44,1505.6818181818182,210.5,3.9318181818181817,2.0,0.2739040880657583,0.07199480448202591,small,0.2739040880657583
Cursor,ci,15,515.6,76.0,4.066666666666666,3.0,0.26538355761677224,0.33909687649558773,small,0.26538355761677224
Cursor,docs,171,2258.438596491228,111.0,3.526315789473684,3.0,0.16749640853489345,0.028543961671548282,small,0.16749640853489345
Cursor,feat,480,4735.383333333333,537.5,3.525,2.0,0.24036592176268684,9.779539790077332e-08,small,0.24036592176268684
Cursor,fix,329,2150.3738601823707,91.0,2.729483282674772,2.0,0.20279592064410185,0.0002131208219101378,small,0.20279592064410185
Cursor,other,6,1335.8333333333333,371.5,1.8333333333333333,1.0,-0.033806170189140665,0.9493100625278257,negligible,0.033806170189140665
Cursor,perf,15,863.7333333333333,367.0,2.6,2.0,0.1817202168080522,0.5168728327898908,small,0.1817202168080522
Cursor,refactor,88,2878.6022727272725,500.0,2.8068181818181817,2.0,0.10392132699888591,0.33527579793981876,small,0.10392132699888591
Cursor,style,18,642.3888888888889,28.0,3.0,2.0,0.1853828002880653,0.46144558171946903,small,0.1853828002880653
Cursor,test,21,2536.9523809523807,780.0,2.6666666666666665,2.0,0.2991774995937826,0.18768082027697278,small,0.2991774995937826
Cursor,unknown,502,0.0,0.0,1.346613545816733,1.0,,,large,
Devin,build,63,3006.9841269841268,114.0,3.0476190476190474,3.0,0.08998991825228757,0.48305680356885117,negligible,0.08998991825228757
Devin,chore,280,1394.7178571428572,88.0,4.807142857142857,4.0,0.1769697785150103,0.0029633684037533078,small,0.1769697785150103
Devin,ci,59,418.3050847457627,44.0,4.491525423728813,4.0,0.012188576728563013,0.9269980181939435,negligible,0.012188576728563013
Devin,docs,619,4430.505654281099,73.0,4.093699515347335,3.0,0.3382772692119364,4.8990665797528335e-18,moderate,0.3382772692119364
Devin,feat,1899,5851.105845181674,303.0,4.639810426540285,3.0,0.21685677944303508,1.2027185657014844e-21,small,0.21685677944303508
Devin,fix,1244,2025.2877813504824,86.0,3.580385852090032,3.0,0.12894781404283073,5.054163135437486e-06,small,0.12894781404283073
Devin,other,3,908.3333333333334,1138.0,3.0,3.0,0.5,0.6666666666666667,large,0.5
Devin,perf,62,1856.6612903225807,163.0,4.483870967741935,3.5,0.16976210542742132,0.18713480510546254,small,0.16976210542742132
Devin,refactor,436,4886.19495412844,330.5,4.83256880733945,4.0,0.21405358900109162,6.510092345195201e-06,small,0.21405358900109162
Devin,revert,6,270.3333333333333,33.0,2.6666666666666665,2.5,-0.26482044885142486,0.6120552385657049,small,0.26482044885142486
Devin,style,25,1972.72,21.0,4.36,4.0,0.4593752134674062,0.020881770108521634,moderate,0.4593752134674062
Devin,test,116,4425.887931034483,350.0,3.956896551724138,3.0,0.188143036632668,0.04312293761045977,small,0.188143036632668
Devin,unknown,2764,0.15195369030390737,0.0,1.3534732272069465,1.0,0.06388325724431658,0.0007780252337619352,negligible,0.06388325724431658
OpenAI_Codex,build,64,4174.953125,49.0,2.671875,2.0,0.09385702820592601,0.46070397851511735,negligible,0.09385702820592601
OpenAI_Codex,chore,172,2653.0348837209303,88.5,4.063953488372093,3.0,0.3922249986011041,1.0305087873826643e-07,moderate,0.3922249986011041
OpenAI_Codex,ci,48,973.7916666666666,31.0,1.7291666666666667,1.0,-0.020767537935229598,0.8885777681544029,negligible,0.020767537935229598
OpenAI_Codex,docs,408,812.5490196078431,38.5,2.25,2.0,0.1550830251991988,0.0016783100284634557,small,0.1550830251991988
OpenAI_Codex,feat,1704,2260.68603286385,126.0,2.4917840375586855,1.0,0.23742348692464624,2.904163290564484e-23,small,0.23742348692464624
OpenAI_Codex,fix,1422,995.1990154711674,19.0,2.421237693389592,1.0,0.22140613145595892,2.9940404304012164e-17,small,0.22140613145595892
OpenAI_Codex,other,5,23395.4,2601.0,3.0,2.0,-0.26352313834736496,0.6683968370871736,small,0.26352313834736496
OpenAI_Codex,perf,37,7413.27027027027,65.0,2.4864864864864864,1.0,0.13834869743379732,0.41415919430138415,small,0.13834869743379732
OpenAI_Codex,refactor,384,1506.5625,147.0,2.7838541666666665,1.0,0.1301086309968287,0.010706252281738151,small,0.1301086309968287
OpenAI_Codex,style,27,9630.296296296296,54.0,2.3333333333333335,1.0,-0.06282059889203633,0.7555824781473531,negligible,0.06282059889203633
OpenAI_Codex,test,265,1382.5358490566039,82.0,2.0,1.0,0.13735727120919214,0.025348294795728067,small,0.13735727120919214
OpenAI_Codex,unknown,1184,0.7905405405405406,0.0,1.1722972972972974,1.0,0.1098049989350729,0.00015323027318940377,small,0.1098049989350729
