task_type,Claude_Code,Copilot,Cursor,Devin,OpenAI_Codex
build,1.0,0.5504587155963303,0.75,0.5873015873015873,0.9069148936170213
chore,0.8333333333333334,0.47413793103448276,0.8043478260869565,0.5698924731182796,0.8554216867469879
ci,0.8,0.65625,0.9375,0.6101694915254238,0.912
docs,0.75,0.6967418546365914,0.806282722513089,0.7269736842105263,0.944954128440367
feat,0.7029702970297029,0.5231788079470199,0.7112810707456979,0.5665024630541872,0.8403282775815499
fix,0.7252747252747253,0.5423620025673941,0.7698630136986301,0.4426094137076796,0.8517448856799037
other,,0.0,0.375,0.0,0.0
perf,0.6666666666666666,0.3870967741935484,0.55,0.36065573770491804,0.734375
refactor,0.5652173913043478,0.5877551020408164,0.7422680412371134,0.5904761904761905,0.8329637841832964
revert,,1.0,,0.6666666666666666,0.8
style,,0.42857142857142855,0.8666666666666667,0.68,0.8461538461538461
test,0.6,0.4621212121212121,0.6764705882352942,0.5315315315315315,0.8603945371775418
